sifra,Municipality,Municipality2,District,Ballots,Empty.Ballots,Other.Invalid.Ballots,Numvoters,p00090,p00008,p02321,p00001,p02328,p00004,p01698,p01182,p02385,p00877,p02402,p02373,p00036,p00513,p02399,p01276,p02401,p02325,p02323,p01728,p02368,p00521,p01718,p01178,p01705,pNA,p02403,p02317,p02382,p02391,p02395,p02314,p01699,p01701,p00028,p02375,p00502,p00769,p02383,p02311,p00017,p01200,p02384,p01703,p02322,p00734,p01714,p02353,p02358,p02388,p01270,p02389,p02398,p01188,p01290,p02400,p02396,p02355,p02360,p02361,p02072,p02354,p02390,p02392,p02376,p00882,p02387,p01989,p01723,p02347,p02397,p02291,p02359,p01706,p02349,Entity,Election
003,BIHAĆ,BIHAÄ† (003),KANTON 1,21027,891,1670,56974,26.27,12.6,0,0,0,0,7.34,8.96,0,7.45,0,0,0,0.88,0,0.19,0,0.19,0,0.05,0.16,0,0.03,0,0.44,0,0,3.99,0,0,0,3.59,0,0.19,0.25,24.99,0.4,0.41,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
085,GLAMOČ,GLAMOÄŒ (085),KANTON 10,1592,84,95,3887,18.53,4.84,0,0,0,0.19,5.34,0,0,0,0,0,0,0,0,0.19,0,0.13,0,0.06,35.24,0,0.06,0,0.13,0,0,0,0,0,0,0,0,0,0,0,3.2,2.83,0,0.19,0,4.71,14.07,6.72,2.51,0.38,0,0,0.06,0.57,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
022,ORAŠJE,ORAÅ JE (022),KANTON 2,7193,188,359,16257,9.41,0.88,2.03,0,0,0,0.83,2.82,0,0,0,0,0.07,0,0,0.13,0,0.04,0,0.07,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,61.05,12.14,9.62,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
044,GRAČANICA,GRAÄŒANICA (044),KANTON 3,20928,900,897,41697,22.1,31.47,10.56,3.24,0.71,4.59,7.32,4.64,0.04,8.66,0.44,1.31,2.01,0.43,1.83,0.28,0.01,0.14,0.11,0.06,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
042,MAGLAJ,MAGLAJ (042),KANTON 4,9435,426,410,20006,31.35,44.06,0.65,0.46,0.25,2.24,5.67,4.01,0,0.74,0.29,2.06,0.23,1.92,0,0.06,0,0.08,0,0.06,0.29,0,0.03,0,0,0,1.12,0.13,4.13,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
167,GORAŽDE,GORAÅ½DE (167),KANTON 5,13141,263,398,20761,17.98,6.7,0,1.92,13.19,9.8,6.28,8.47,0,4.98,0,3.62,0.05,0,4.63,0,0,0.03,0,13.82,0.31,0,0.12,0,0,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
089,DONJI VAKUF,DONJI VAKUF (089),KANTON 6,6617,340,331,12344,32.13,23.2,0.65,0,0.12,2.84,8.83,17.46,0,0,0.59,1.75,0.42,1.01,0,0.15,0,0.11,0,0,0.03,0,0.03,0,0,0,0,0,0.15,0,0.06,10.44,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
127,KONJIC,KONJIC (127),KANTON 7,12892,464,637,21877,42.04,22.05,0,4.42,0.02,7.11,2.41,12.04,0,1.48,0.06,0,0.25,0,0,0.11,0,0.07,0,0.07,0.2,0,0.01,0,0.05,0,0,0.21,2.34,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.05,0.01,0.02,0.25,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
150,ŠIROKI BRIJEG,Å IROKI BRIJEG (150),KANTON 8,12193,89,535,23231,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0.07,0,0.03,0,0,0,0,17.08,0,0,0,0,0,0,0,0.03,0,0.04,0,1.26,0,0,0,2.9,0,0,0,0,1.49,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,56.44,8.02,9.36,0.01,0,0,0,0,0,0,0,0,0,Fed,Kantons
131,ILIDŽA,ILIDÅ½A (131),KANTON 9,31477,841,1386,63578,28.1,9.58,0,2.19,2.4,1.42,5.88,9.78,0,8.08,0,0,2.88,0.4,0,0,0,0,0.3,0.04,0.25,0,0.04,0,0,0,0,18.26,1.57,0,0,1.76,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,1.29,0.63,1.36,0.35,0.08,0.07,0.17,0.1,0.02,0.02,Fed,Kantons
